Linux 6.6.23 (eternity8) 	2025년 05월 29일 	_x86_64_	(40 CPU)

14시 40분 53초     CPU     %user     %nice   %system   %iowait    %steal     %idle
14시 41분 00초      29      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 00초      30      1.01      0.00      0.00      0.00      0.00     98.99
14시 41분 00초      31      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 00초      32      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 00초      33      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 00초      34      0.00      0.00      1.00      0.00      0.00     99.00
14시 41분 00초      35      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 00초      36      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 00초      37      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 00초      38      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 00초      39      0.00      0.00      0.00      0.00      0.00    100.00

14시 41분 00초     CPU     %user     %nice   %system   %iowait    %steal     %idle
14시 41분 01초     all      0.03      0.00      0.05      0.00      0.00     99.92
14시 41분 01초       0      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초       1      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초       2      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초       3      0.00      0.00      0.99      0.00      0.00     99.01
14시 41분 01초       4      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초       5      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초       6      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초       7      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초       8      1.00      0.00      0.00      0.00      0.00     99.00
14시 41분 01초       9      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      10      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      11      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      12      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      13      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      14      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      15      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      16      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      17      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      18      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      19      0.00      0.00      1.00      0.00      0.00     99.00
14시 41분 01초      20      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      21      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      22      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      23      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      24      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      25      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      26      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      27      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      28      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      29      0.00      0.00      1.00      0.00      0.00     99.00
14시 41분 01초      30      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      31      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      32      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      33      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      34      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      35      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      36      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      37      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      38      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 01초      39      0.00      0.00      0.00      0.00      0.00    100.00

14시 41분 01초     CPU     %user     %nice   %system   %iowait    %steal     %idle
14시 41분 02초     all      0.00      0.00      0.03      0.00      0.00     99.97
14시 41분 02초       0      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초       1      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초       2      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초       3      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초       4      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초       5      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초       6      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초       7      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초       8      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초       9      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      10      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      11      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      12      0.00      0.00      0.99      0.00      0.00     99.01
14시 41분 02초      13      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      14      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      15      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      16      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      17      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      18      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      19      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      20      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      21      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      22      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      23      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      24      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      25      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      26      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      27      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      28      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      29      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      30      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      31      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      32      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      33      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      34      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      35      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      36      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      37      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      38      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 02초      39      0.00      0.00      0.00      0.00      0.00    100.00

14시 41분 02초     CPU     %user     %nice   %system   %iowait    %steal     %idle
14시 41분 03초     all      0.02      0.00      0.07      0.00      0.00     99.90
14시 41분 03초       0      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 03초       1      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 03초       2      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 03초       3      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 03초       4      0.00      0.00      0.00      0.00      0.00    100.00
14시 41분 03초       5      0.00      0.00      0.00      0.00      0.00    100.00
